0,0,1260
1,59,660
2,0,1080
3,1,480
4,59,780
5,3,2220
6,59,300
7,5,1740
8,5,1260
9,59,480
10,6,1260
11,6,1320
12,7,840
13,59,1200
14,7,720
15,7,1020
16,11,720
17,0,900
18,59,1200
19,33,420
20,34,1020
21,59,1260
22,59,480
23,59,480
24,33,1320
25,59,900
26,21,1500
27,59,480
28,32,1200
29,59,360
30,34,1140
31,34,1260
32,59,1080
33,34,660
34,21,420
35,59,1560
36,59,1320
37,30,1200
38,59,540
39,30,1080
40,30,1500
41,32,960
42,44,840
43,59,1260
44,45,240
45,45,960
46,59,1200
47,45,1800
48,59,300
49,48,1440
50,51,300
51,51,780
52,53,1680
53,59,1620
54,53,420
55,53,1140
56,59,660
57,53,1200
58,55,1080
59,59,960
60,56,1320
61,56,300
62,59,720
63,57,840
64,59,1380
65,59,1260
66,59,480
67,59,1500
68,59,660
69,59,1500
70,60,1320
71,30,240
72,59,1260
73,54,1740
74,54,1200
75,54,1560
76,59,1260
77,0,540
78,54,420
79,0,2160
80,35,1440
81,59,1380
82,19,720
83,19,960
84,19,780
85,33,1440
86,59,1560
87,33,2400
88,33,660
89,59,1020
90,33,1140
91,34,1980
92,59,1200
93,35,600
94,35,420
95,35,1080
96,59,720
97,35,1320
98,35,1020
99,33,540
